conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,skill/competence,transversal,ερμηνεία μαθηματικών πληροφοριών,released,επίδειξη κατανόησης των αριθμών | απόλαυση της εργασίας με αριθμούς | εφαρμογή αριθμητικών δεξιοτήτων | εφαρμογή αριθμητικού συλλογισμού | εφαρμογή της μαθηματικής συλλογιστικής,"Επίδειξη κατανόησης μαθηματικών όρων και εννοιών και εφαρμογή βασικών μαθηματικών αρχών και διεργασιών για την ερμηνεία δεδομένων και γεγονότων.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,Εργασία με αριθμούς και μονάδες μέτρησης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1,skill/competence,transversal,επίδειξη αφοσίωσης,released,υποστήριξη της αποστολής της εταιρείας | προάσπιση των σχεδίων της εταιρίας | επίδειξη πίστης | υποστήριξη των σχεδίων της εταιρείας | πίστη στο το όραμα του οργανισμού | υποστήριξη εταιρικού σχεδίου,"Επίδειξη εσωτερικής σύνδεσης με μια ομάδα ή οργανισμό, μεταξύ άλλων με την υιοθέτηση και την εκπροσώπηση των αξιών τους.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,Τήρηση κώδικα δεοντολογίας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,skill/competence,transversal,καθοδήγηση άλλων ατόμων,released,,"Παροχή καθοδήγησης και πλαισίωσης σε άλλα άτομα προς την κατεύθυνση της επίτευξης κοινών στόχων, με την ανάληψη ηγετικού ρόλου, συχνά στο πλαίσιο μιας ομάδας. Εκτέλεση εργασιών, ανάληψη ενεργειών και συμπεριφορά κατά τρόπο που εμπνέει τους συνεργάτες να ακολουθήσουν το παράδειγμα που δίνουν τα διευθυντικά τους στελέχη.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,Άσκηση ηγετικού ρόλου
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,skill/competence,transversal,επίδειξη ενσυναίσθησης,released,,Επίδειξη ενσυναίσθησης για την πρόληψη οποιουδήποτε είδους συμβολικών πράξεων βίας και απομόνωσης και τη διασφάλιση της προσεκτικής παρακολούθησης όλων. Θα πρέπει να περιλαμβάνει την ικανότητα κατανόησης διαφόρων λεκτικών και μη λεκτικών εκδηλώσεων συναισθημάτων και διαθέσεων.,http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,Παροχή στήριξης σε άλλους
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,skill/competence,transversal,διενέργεια διαπραγματεύσεων για την επίτευξη συμβιβασμού,released,,"Επικοινωνία με τρίτους με πρόθεση την επίτευξη συνεννόησης ή την επίλυση μιας διαφοράς απόψεων, χωρίς να παραβλέπονται οι προθέσεις ή οι στόχοι του ενός ή του άλλου.",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Επικοινωνία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,skill/competence,transversal,αντιμετώπιση του άγχους,released,αντιμετώπιση της πίεσης | ψυχραιμία υπό πίεση | διαχείριση της πίεσης | επίδειξη ψυχικής ανθεκτικότητας,"Αντιμετώπιση προκλήσεων, αναταράξεων και αλλαγών και ανάκαμψη μετά από δυσκολίες και αντιξοότητες.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,Διατήρηση θετικής στάσης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,skill/competence,transversal,αποδοτική εργασία,released,,"Επίτευξη στόχων με ελάχιστη επένδυση χρόνου, προσπάθειας ή κόστους.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Αποδοτική εργασία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,skill/competence,transversal,ενεργός συμμετοχή στα κοινά,released,εκτέλεση κοινοτικής εργασίας | συμμετοχή σε γειτονικές δραστηριότητες | επίδειξη ενεργού ιδιότητας του πολίτη,"Ενεργός συμμετοχή σε δραστηριότητες για το κοινό ή το δημόσιο συμφέρον, όπως πρωτοβουλίες των πολιτών, της κοινότητας ή της γειτονιάς, σε ευκαιρίες εθελοντισμού και σε μη κυβερνητικές οργανώσεις.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα των κοινών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,κριτική σκέψη,released,κριτική αξιολόγηση των πληροφοριών και των πηγών τους | αξιολόγηση των πληροφοριών | αξιολόγηση των πληροφοριών και των πηγών τους,"Λήψη και στήριξη αποφάσεων με βάση εσωτερικές αποδείξεις και εξωτερικά κριτήρια. Κριτική αξιολόγηση της εγκυρότητας και της αξιοπιστίας των πληροφοριών πριν από τη χρήση ή τη διαβίβασή τους σε άλλους. Ανάπτυξη ανεξάρτητης και κριτικής σκέψης.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Επεξεργασία πληροφοριών, ιδεών και εννοιών"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,ενθάρρυνση άλλων σε φιλικές προς το περιβάλλον συμπεριφορές,released,προώθηση της βιωσιμότητας | ενημέρωση για τη βιωσιμότητα | προώθηση φιλικών προς το περιβάλλον συμπεριφορών | υποστήριξη της βιωσιμότητας | ενθάρρυνση των άλλων να σέβονται το περιβάλλον,"Παροχή ενημέρωσης και προώθηση φιλικών προς το περιβάλλον συμπεριφορών στα κοινωνικά δίκτυα και στην εργασία.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα του περιβάλλοντος
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,απόδοση προσοχής στη λεπτομέρεια,released,επίδειξη σχολαστικότητας,"Ολοκλήρωση εργασίας με ενδιαφέρον για όλους τους εμπλεκόμενους τομείς, ανεξαρτήτως του μεγέθους τους.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Αποδοτική εργασία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,ενημερωμένη χρήση του συστήματος υγειονομικής περίθαλψης,released,εφαρμογή μέτρων προληπτικής φροντίδας για την αποφυγή σωματικής ή ψυχολογικής βλάβης | εύρεση κατάλληλων υπηρεσιών υγειονομικής περίθαλψης | διαχείριση των κατάλληλων φαρμάκων,"Προσδιορισμός και επιλογή των κατάλληλων προληπτικών και θεραπευτικών υπηρεσιών ή φορέων που προσφέρουν υπηρεσίες υγειονομικής περίθαλψης, και ασφαλής διαχείριση των κατάλληλων φαρμάκων.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα της υγείας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,προώθηση των αρχών της δημοκρατίας και του κράτους δικαίου,released,υποστήριξη της ισότητας των φύλων | υποστήριξη της δημοκρατίας | αντιμετώπιση των διακρίσεων | καταπολέμηση των διακρίσεων | κατανόηση των κοινών ευρωπαϊκών αξιών | προώθηση μιας κουλτούρας μη βίας | υποστήριξη της ενσωμάτωσης της διάστασης του φύλου | εφαρμογή πολιτικών ισότητας,"Ανάληψη ενεργού ρόλου στην προώθηση των αρχών της δημοκρατίας, της κοινωνικής δικαιοσύνης και του κράτους δικαίου. Καταπολέμηση των διακρίσεων λόγω εθνοτικής, πολιτισμικής ή σεξουαλικής ταυτότητας ή προσανατολισμού, καθώς και κοινωνικού, εκπαιδευτικού ή οικονομικού υπόβαθρου, με την αξιολόγηση και την αναφορά των συνεπειών που έχει για τις διάφορες ομάδες κάθε σχεδιαζόμενη δράση, συμπεριλαμβανομένων νομοθετικών διατάξεων, πολιτικών ή προγραμμάτων.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα των κοινών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,δημιουργική έκφραση,released,"επίδειξη αίσθησης του ρυθμού | ενασχόληση με την καλλιτεχνική αυτοέκφραση | χορός | έκφραδη ιδελων, εμπειριών και συναισθημάτων δημιουργικά | τραγούδι | ζωγραφική | σχέδιο | παίξιμο μουσικών οργάνων","Ικανότητα χρήσης του τραγουδιού, του χορού, της ορχηστρικής μουσικής, της ηθοποιίας ή των καλών τεχνών για τον σκοπό της δημιουργικής έκφρασης.
	",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,Εφαρμογή δεξιοτήτων και ικανοτήτων στον πολιτιστικό τομέα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,skill/competence,transversal,επίλυση διαφορών,released,επίδειξη προθυμίας για συμβιβασμό | επίτευξη συναίνεσης | επίτευξη συμβιβασμού | διαχείριση των συγκρούσεων,"Μεσολάβηση σε συγκρούσεις και τεταμένες καταστάσεις ενεργώντας μεταξύ των μερών, επιδιώκοντας την επίτευξη συμφωνίας, τη συμφιλίωση και την επίλυση προβλημάτων. Διευθέτηση μιας σύγκρουσης κατά τρόπο ώστε κανένα από τα θύματα να μην νιώθει ότι έτυχε κακής μεταχείρισης και αποφυγή των διαφωνιών εκ των προτέρων.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Επικοινωνία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,skill/competence,transversal,εκτίμηση της ποικιλόμορφης πολιτιστικής και καλλιτεχνικής έκφρασης,released,Αίσθηση για την αισθητική | εκτίμηση της  πολιτιστικής κληρονομιάς | επίδειξη πολιτιστικής συνείδησης | εκτίμηση τωνκαλλιτεχνικών εκφράσεων,"Επίδειξη αισθητικής ευαισθησίας, ενδιαφέροντος και ανοικτού πνεύματος σε καλλιτεχνικές εκφράσεις από διαφορετικά πολιτιστικά περιβάλλοντα.
	",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,Εφαρμογή δεξιοτήτων και ικανοτήτων στον πολιτιστικό τομέα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,επίδειξη βούλησης για μάθηση,released,,Επίδειξη θετικής στάσης απέναντι σε νέα και απαιτητικά αιτήματα που μπορούν να ικανοποιηθούν μόνο μέσω της διά βίου μάθησης.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Επίδειξη βούλησης για μάθηση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,skill/competence,transversal,"χρήση εξοπλισμού, εργαλείων ή τεχνολογίας με ακρίβεια",released,χρήση εργαλείων χειρός | πραγματοποίησηχειρωνακτικών δραστηριοτήτων | επίδειξη τεχνικής οξυδέρκειας | χρήση οργάνων ακριβείας,"Χρήση αντικειμένων, εργαλείων, οργάνων ακριβείας ή εξοπλισμού ανεξάρτητα για την εκτέλεση χειρωνακτικών δραστηριοτήτων, με ή χωρίς ελάχιστη εκπαίδευση.
	",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,Χειρισμός και έλεγχος αντικειμένων και εξοπλισμού
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,skill/competence,transversal,διατήρηση της συγκέντρωσης για μεγάλο χρονικό διάστημα,released,,"Διατήρηση της συγκέντρωσης για μεγάλο χρονικό διάστημα, ώστε να λαμβάνονται σωστές και κατάλληλες αποφάσεις.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Αποδοτική εργασία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,skill/competence,transversal,εντοπισμός προβλημάτων,released,ανίχνευση προβλημάτων | προβλήματα σήματος | διάγνωση προβλημάτων,"Εντοπισμός και ανίχνευση προβλημάτων και ζητημάτων και λήψη αποφάσεων σχετικά με τον βέλτιστο τρόπο δράσης. Αναφορά προβλημάτων αναλόγως, όταν χρειάζεται.
	",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,Αντιμετώπιση προβλημάτων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,skill/competence,transversal,διατήρηση φυσικής κατάστασης,released,διατήρησητης φυσικής σας κατάστασης | υιοθέτηση ενός υγιεινού τρόπου ζωής | προληπτική εφαρμογή υγιεινών συμπεριφορών,"Υιοθέτηση και εφαρμογή προληπτικών υγιεινών συμπεριφορών, συμπεριλαμβανομένης της τακτικής σωματικής άσκησης, της υγιούς ρουτίνας ύπνου και της υγιεινής διατροφής.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα της υγείας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,skill/competence,transversal,επίλυση προβλημάτων,released,ανάπτυξη στρατηγικής για την επίλυση προβλημάτων | δημιουργία λύσεων στα προβλήματα | σχεδιασμός στρατηγικής για την επίλυση προβλημάτων | επίδειξη δεξιοτήτων επίλυσης προβλημάτων | δημιουργία στρατηγικών για την επίλυση προβλημάτων | ανάπτυξη στρατηγικών για την επίλυση προβλημάτων | εφαρμογή της επίλυσης προβλημάτων | διαχείριση προβλημάτων | διαισθητική δράση,"Εξεύρεση λύσεων σε πρακτικά, λειτουργικά ή εννοιολογικά προβλήματα σε ευρύ φάσμα πλαισίων.
	",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,Αντιμετώπιση προβλημάτων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,skill/competence,transversal,ανάθεση αρμοδιοτήτων,released,κατανομή αρμοδιοτήτων,"Ανάθεση αρμοδιοτήτων, δραστηριοτήτων και καθηκόντων σε άλλους ανάλογα με τις ικανότητες, το επίπεδο προετοιμασίας και τις δεξιότητες. Μέριμνα ώστε οι πολίτες να κατανοούν τι πρέπει να κάνουν και πότε θα πρέπει να το κάνουν.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,Άσκηση ηγετικού ρόλου
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,skill/competence,transversal,χρήση λογισμικού επικοινωνίας και συνεργασίας,released,επικοινωνία σε ψηφιακά περιβάλλοντα | επικοινωνία on-line | αλληλεπίδραση μέσω των ΤΠΕ | Διαδικτυακή απικοινωνία | χρήση λογισμικού και υπηρεσιών ηλεκτρονικού ταχυδρομείου,"Χρήση απλών ψηφιακών εργαλείων και τεχνολογιών για την επικοινωνία, την αλληλεπίδραση και τη συνεργασία με άλλους.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Εργασία με ψηφιακές συσκευές και εφαρμογές
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,skill/competence,transversal,οικοδόμηση ομαδικού πνεύματος,released,δημιουργία ομάδας έργου | οικοδόμηση ομάδας | σχεδιασμός ομαδικού πνεύματος | οργάνωση ομάδας,"Οικοδόμηση σχέσης αμοιβαίας εμπιστοσύνης, σεβασμού και συνεργασίας μεταξύ των μελών της ίδιας ομάδας.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,Άσκηση ηγετικού ρόλου
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,skill/competence,transversal,αυτοσχεδιασμός,released,επίδειξη ικανότητας αυτοσχεδιασμού | επίδειξη ταλέντου στον αυτοσχεδιασμό,"Ικανότητα αυτοσχεδιασμού και άμεσης αντίδρασης χωρίς προγραμματισμό πριν από καταστάσεις που δεν γνωρίζατε προηγουμένως.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,Δημιουργική και καινοτόμος σκέψη
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,skill/competence,transversal,συμμόρφωση με κανονισμούς,released,συμμόρφωση με τη νομοθεσία ή τις πολιτικές | συμμόρφωση με τις νομοθετικές διατάξεις | εργασία με στοχαστικό τρόπο | εφαρμογή των οδηγιών και των διαδικασιών,"Τήρηση και συμμόρφωση με τους κανόνες, τους κανονισμούς και τις κατευθυντήριες γραμμές που αφορούν συγκεκριμένο πεδίο ή τομέα και εφαρμογή τους στην καθημερινή σας εργασία.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,Τήρηση κώδικα δεοντολογίας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,skill/competence,transversal,μετακίνηση αντικειμένων,released,αναρρίχηση | αποθήκευση αγαθών | μετακίνηση και άρση αντικειμένων | εκτέλεση σωματικών δραστηριοτήτων | φόρτωση και εκφόρτωση αγαθών και υλικών,"Εκτέλεση σωματικών δραστηριοτήτων για τη μετακίνηση, φόρτωση, εκφόρτωση ή αποθήκευση αντικειμένων, ή για την αναρρίχηση σε κατασκευές, με τα χέρια ή με τη βοήθεια εξοπλισμού.
	",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,Χειρισμός και έλεγχος αντικειμένων και εξοπλισμού
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,skill/competence,transversal,πραγματοποίηση αναζητήσεων στο διαδίκτυο,released,χρήση μηχανής αναζήτησης | χρήση του αναζήτηση google | χρήση του yahoo! αναζήτηση | αναζήτηση πληροφοριών στο διαδίκτυο | χρήση του bing,"Αναζήτηση δεδομένων, πληροφοριών και περιεχομένου μέσω απλών αναζητήσεων σε ψηφιακά περιβάλλοντα.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Εργασία με ψηφιακές συσκευές και εφαρμογές
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,skill/competence,cross-sector,διαχείριση ψηφιακής ταυτότητας,released,διαχείριση ψηφιακών ταυτοτήτων | δημιουργία ψηφιακών ταυτοτήτων,"Δημιουργία και διαχείριση μίας ή πολλαπλών ψηφιακών ταυτοτήτων, ικανότητα προστασίας της προσωπικής φήμης, χειρισμός των δεδομένων που παράγονται μέσω διαφόρων ψηφιακών εργαλείων, περιβαλλόντων και υπηρεσιών.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,ψηφιακή επικοινωνία και συνεργασία | Εργασία με ψηφιακές συσκευές και εφαρμογές
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,skill/competence,transversal,επίδειξη αξιοπιστίας,released,δημιουργία εμπιστοσύνης | ειλικρίνεια | αξιοπιστία,"Επίδειξη εντιμότητας, ακεραιότητας και αξιοπιστίας στον χώρο εργασίας. Επίδειξη αφοσίωσης στην ομάδα και τον οργανισμό σας και απόδειξη της αξιοπιστίας σας.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,Τήρηση κώδικα δεοντολογίας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,skill/competence,transversal,επίδειξη επιχειρηματικού πνεύματος,released,εντοπισμός ευκαιριών | επίδειξη επιχειρηματικότητα | επιδίωξη ευκαιριών | επίδειξη προθυμίας ανάληψης ρίσκου,"Ανάπτυξη, οργάνωση και διαχείριση ιδιόκτητης επιχείρησης, εντοπισμός και αναζήτηση ευκαιριών και κινητοποίηση πόρων, λαμβανομένης υπόψη της προοπτικής κερδοφορίας. Επίδειξη προορατικής στάσης και αποφασιστικότητας για την επιτυχία στις επιχειρήσεις
	",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,Εφαρμογή επιχειρηματικών και οικονομικών δεξιοτήτων και ικανοτήτων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,skill/competence,transversal,αναφορά γεγονότων,released,,Μεταφορά πληροφοριών ή προφορική αφήγηση γεγονότων.,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,Επικοινωνία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,skill/competence,transversal,εφαρμογή βασικών δεξιοτήτων προγραμματισμού,released,χρήση βασικών δεξιοτήτων κωδικοποίησης | χρήση γλωσσών καταγραφής ερωτημάτων,"Παράθεση απλών οδηγιών για ένα υπολογιστικό σύστημα για την επίλυση προβλημάτων ή την εκτέλεση εργασιών σε βασικό επίπεδο και με κατάλληλη καθοδήγηση όπου χρειάζεται.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,Εργασία με ψηφιακές συσκευές και εφαρμογές
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,skill/competence,transversal,δημιουργία κοινωνικών δικτύων,released,δημιουργία επαφών | δημιουργία δικτύων | διατήρηση επαφής με άλλους | οικοδόμηση αποτελεσματικών σχέσεων | ικανότητα δικτύωσης | διατήρηση δικτύων,"Επίδειξη ικανότητας οικοδόμησης αποτελεσματικών σχέσεων, ανάπτυξης και διατήρησης συμμαχιών, επαφών ή συμπράξεων, και ανταλλαγής πληροφοριών με άλλους.
	",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,Συνεργασία σε ομάδες και δίκτυα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,skill/competence,transversal,επίδειξη διαπολιτισμικών δεξιοτήτων,released,,"Κατανόηση και σεβασμός προς ανθρώπους που θεωρείται ότι έχουν διαφορετικές πολιτισμικές συγγένειες, και ανταπόκριση με αποτελεσματικότητα και σεβασμό.",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,Συνεργασία σε ομάδες και δίκτυα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,skill/competence,transversal,ανεξάρτητη εργασία,released,,"Ανάπτυξη προσωπικού τρόπου εργασίας, ατομική παρακίνηση με ελάχιστη ή μηδενική εποπτεία και ατομική ανεξαρτησία για την διεκπεραίωση εργασιών και υποχρεώσεων.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Αποδοτική εργασία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,skill/competence,transversal,καινοτόμος σκέψη,released,εφαρμογή μελλοντικής σκέψης | καινοτομία | επίδειξη πρωτοποριακού πνεύματος | σκεφτείτε μπροστά | διαμόρφωση του μέλλοντος | εφευρετικότητα,"Ανάπτυξη ιδεών ή συμπερασμάτων που οδηγούν στη δημιουργία και την εφαρμογή καινοτομιών ή αλλαγών.
	",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,Δημιουργική και καινοτόμος σκέψη
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,skill/competence,transversal,επίδειξη επίγνωσης των κινδύνων για την υγεία,released,"πλήρωση των απαιτήσεων υγείας και ασφάλειας | εργασία με ασφάλεια με επικίνδυνα υλικά | ωνώση των επιπτώσεων των ναρκωτικών και του αλκοόλ σε άτομα, οικογένειες και κοινότητες | εφαρμογή εργονομίας | εφαρμογή των κανονισμών ασφάλειας στο χώρο εργασίας | διαχείριση του κινδύνου για την υγεία","Ικανότητα αξιολόγησης και διαχείρισης των κινδύνων για την προσωπική υγεία, για παράδειγμα τηρώντας τις προφυλάξεις ασφαλείας στις εργασιακές πρακτικές, εφαρμόζοντας μέτρα πυροπροστασίας, τηρώντας και εφαρμόζοντας την εργονομία και λαμβάνοντας υπόψη τις επιπτώσεις των ναρκωτικών και του αλκοόλ στα άτομα, τις οικογένειες και τις κοινότητες.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα της υγείας
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,skill/competence,transversal,δημιουργική σκέψη,released,,"Παραγωγή νέων ιδεών ή συνδυασμός υφιστάμενων για την ανάπτυξη καινοτόμων, πρωτότυπων λύσεων.",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,Δημιουργική και καινοτόμος σκέψη
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,skill/competence,transversal,ολιστική σκέψη,released,προσδιορισμόςι βασικών ζητημάτων σε περίπλοκες καταστάσεις | προσδιορισμός αλληλεπιδράσεων | επίδειξη ολιστικής σκέψης | εφαρμογή της εννοιολογικής σκέψη | κατανόηση πολύπλοκων διαδικασιών | αναγνώριση συνδέσεων | κατανόηση της πολυπλοκότητας | εφαρμογή της συστημικής σκέψης,"Συνεκτίμηση των έμμεσων και μακροπρόθεσμων συνεπειών κατά τον σχεδιασμό και τη λήψη αποφάσεων. Εξέταση των επιπτώσεων σε άλλους ανθρώπους, διαδικασίες και το περιβάλλον και συμπερίληψη των επιπτώσεων αυτών στον σχεδιασμό σας.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Επεξεργασία πληροφοριών, ιδεών και εννοιών"
